# Exportado el: 2025-06-02 08:25:34
carId;carVal;valId;valVal
26211;PROCESADOR;1597545;PROCESADOR: AMD E1-6050
26211;PROCESADOR;1597546;PROCESADOR: AMD A4 PRO-8350B
26211;PROCESADOR;1597547;PROCESADOR: INTEL PENTIUM G4400
26211;PROCESADOR;1597548;PROCESADOR: INTEL CORE I5-4570
26211;PROCESADOR;1597549;PROCESADOR: INTEL XEON E5-1620 V3
26211;PROCESADOR;1597550;PROCESADOR: INTEL PENTIUM G2030
26211;PROCESADOR;1597551;PROCESADOR: INTEL CORE I7-5960X
26211;PROCESADOR;1597552;PROCESADOR: INTEL CELERON J1900
26211;PROCESADOR;1597553;PROCESADOR: AMD A10-7860K
26211;PROCESADOR;1597554;PROCESADOR: INTEL CORE I7-5820K
26211;PROCESADOR;1597555;PROCESADOR: INTEL CORE I5-4670
26211;PROCESADOR;1597556;PROCESADOR: INTEL CORE I5-3470
26211;PROCESADOR;1597557;PROCESADOR: INTEL CELERON G1850
26211;PROCESADOR;1597558;PROCESADOR: INTEL CORE I3-5010U
26211;PROCESADOR;1597559;PROCESADOR: INTEL CELERON J2900
26211;PROCESADOR;1597560;PROCESADOR: AMD A8-7650K
26211;PROCESADOR;1597561;PROCESADOR: INTEL XEON E3-1231 V3
26211;PROCESADOR;1597562;PROCESADOR: AMD FX-6300
26211;PROCESADOR;1597563;PROCESADOR: INTEL CORE I7-7700K
26211;PROCESADOR;1597564;PROCESADOR: INTEL CORE I5-4670K
26211;PROCESADOR;1597567;PROCESADOR: INTEL CORE I7-6700
26211;PROCESADOR;1597568;PROCESADOR: INTEL CORE I3-4160
26211;PROCESADOR;1597569;PROCESADOR: INTEL CORE I7-5930K
26211;PROCESADOR;1597570;PROCESADOR: AMD SEMPRON 3850
26211;PROCESADOR;1597571;PROCESADOR: INTEL XEON E3-1280 V3
26211;PROCESADOR;1597572;PROCESADOR: INTEL CORE I5-4690K
26211;PROCESADOR;1597573;PROCESADOR: INTEL CORE I5-6600
26211;PROCESADOR;1597575;PROCESADOR: AMD RYZEN 7 3700X
26211;PROCESADOR;1597576;PROCESADOR: AMD RYZEN 5 3400G
26211;PROCESADOR;1597577;PROCESADOR: AMD RYZEN 5 3600X
26211;PROCESADOR;1597578;PROCESADOR: AMD RYZEN 9 3900X
26211;PROCESADOR;1597579;PROCESADOR: AMD RYZEN 3 3200G
26211;PROCESADOR;1597580;PROCESADOR: INTEL CORE I7-9750H
26211;PROCESADOR;1597581;PROCESADOR: INTEL CORE I5-9300H
26211;PROCESADOR;1597582;PROCESADOR INTEL CORE I9-9980HK
26211;PROCESADOR;1597583;PROCESADOR: INTEL CORE I9-9900X
26211;PROCESADOR;1597584;PROCESADOR: INTEL CORE I3-9100F
26211;PROCESADOR;1597585;PROCESADOR: INTEL CORE I3-8500
26211;PROCESADOR;1597586;PROCESADOR: AMD RYZEN 7 PRO 2700X
26211;PROCESADOR;1597587;PROCESADOR: INTEL CORE I3-8350K
26211;PROCESADOR;1597588;PROCESADOR: INTEL CORE I9-9820X
26211;PROCESADOR;1597589;PROCESADOR: AMD RYZEN 7 PRO 2700G
26211;PROCESADOR;1597590;PROCESADOR: INTEL CORE I5-9400
26211;PROCESADOR;1597591;PROCESADOR: INTEL CORE I7-9700
26211;PROCESADOR;1597592;PROCESADOR: INTEL CORE I5-12500T
26211;PROCESADOR;1597593;PROCESADOR: INTEL CORE I7-12700T
26211;PROCESADOR;1597595;PROCESADOR: AMD RYZEN 5 PRO 4650GE
26211;PROCESADOR;1597596;PROCESADOR: AMD RYZEN 7 PRO 4750GE
26211;PROCESADOR;1597597;PROCESADOR: INTEL CORE I3-10305
26211;PROCESADOR;1597598;PROCESADOR: INTEL CORE I5-10505
26211;PROCESADOR;1597599;PROCESADOR: AMD RYZEN 3 4300GE
26211;PROCESADOR;1597600;PROCESADOR: AMD RYZEN 3 5300U
26211;PROCESADOR;1597601;PROCESADOR: INTEL CORE I5-8700
26211;PROCESADOR;1597602;PROCESADOR: AMD RYZEN 3 2200G
26211;PROCESADOR;1597603;PROCESADOR: AMD RYZEN 5 2400G
26211;PROCESADOR;1597604;PROCESADOR: AMD RYZEN 7 2700G
26211;PROCESADOR;1597605;PROCESADOR: INTEL CORE I7-9800X
26211;PROCESADOR;1597606;PROCESADOR: AMD RYZEN 7 2700
26211;PROCESADOR;1597607;PROCESADOR: INTEL PENTIUM G5400 GOLD
26211;PROCESADOR;1597608;PROCESADOR: INTEL CORE I5-9400F
26211;PROCESADOR;1597609;PROCESADOR: INTEL CORE I5-7260U
26211;PROCESADOR;1597610;PROCESADOR: INTEL CELERON J3455
26211;PROCESADOR;1597611;PROCESADOR: INTEL CORE I7-9700T
26211;PROCESADOR;1597612;PROCESADOR: INTEL CORE I5-9600
26211;PROCESADOR;1597613;PROCESADOR: INTEL CORE I3-9100
26211;PROCESADOR;1597614;PROCESADOR: INTEL CORE I3-8300
26211;PROCESADOR;1597615;PROCESADOR: INTEL CORE I5-9500
26211;PROCESADOR;1597616;PROCESADOR: INTEL CORE I5-8600
26211;PROCESADOR;1597617;PROCESADOR: INTEL PENTIUM G4560
26211;PROCESADOR;1597618;PROCESADOR: INTEL CORE I5-8500
26211;PROCESADOR;1597620;PROCESADOR: INTEL CORE I9-7920X
26211;PROCESADOR;1597621;PROCESADOR: INTEL CORE I7-7820X
26211;PROCESADOR;1597622;PROCESADOR: INTEL CORE I5-8400T
26211;PROCESADOR;1597623;PROCESADOR: INTEL CORE I7-8700T
26211;PROCESADOR;1597624;PROCESADOR: INTEL CORE I7-7700T
26211;PROCESADOR;1597625;PROCESADOR: INTEL CORE I5-8500T
26211;PROCESADOR;1597626;PROCESADOR: INTEL CORE I9-9900
26211;PROCESADOR;1597627;PROCESADOR: AMD RYZEN 5 PRO 2600
26211;PROCESADOR;1597628;PROCESADOR: AMD RYZEN 5 PRO 2400G
26211;PROCESADOR;1597629;PROCESADOR: AMD RYZEN 3 PRO 2200G
26211;PROCESADOR;1597630;PROCESADOR: INTEL CORE I5-9600K
26211;PROCESADOR;1597631;PROCESADOR: INTEL CORE I9-9900K
26211;PROCESADOR;1597632;PROCESADOR: AMD RYZEN 7 PRO 2700
26211;PROCESADOR;1597633;PROCESADOR: INTEL CORE I7-9700K
26211;PROCESADOR;1597634;PROCESADOR: INTEL CORE I5-10600
26211;PROCESADOR;1597635;PROCESADOR: AMD RYZEN 3 PRO 3300U
26211;PROCESADOR;1597636;PROCESADOR: INTEL CORE I5-10210U
26211;PROCESADOR;1597637;PROCESADOR: AMD RYZEN 5 PRO 3500U
26211;PROCESADOR;1597638;PROCESADOR: INTEL CORE I3-8145U
26211;PROCESADOR;1597639;PROCESADOR: INTEL CORE I9-9980HK
26211;PROCESADOR;1597640;PROCESADOR: INTEL CORE I7-10710U
26211;PROCESADOR;1597641;PROCESADOR: INTEL CORE I3-10110U
26211;PROCESADOR;1597643;PROCESADOR: INTEL CORE I7-10700F
26211;PROCESADOR;1597644;PROCESADOR: INTEL CORE I7-10700
26211;PROCESADOR;1597645;PROCESADOR: INTEL CORE I7-9700F
26211;PROCESADOR;1597646;PROCESADOR: AMD RYZEN 5 3600
26211;PROCESADOR;1597648;PROCESADOR: INTEL CORE I7-10700T
26211;PROCESADOR;1597650;PROCESADOR: INTEL CORE I5-10500
26211;PROCESADOR;1597652;PROCESADOR: INTEL CORE I9-10900T
26211;PROCESADOR;1597653;PROCESADOR: INTEL CORE I5-10500T
26211;PROCESADOR;1597655;PROCESADOR: AMD RYZEN 5 PRO 3400
26211;PROCESADOR;1597657;PROCESADOR: AMD Ryzen™ 5 4600G
