# Exportado el: 2025-06-02 08:17:14
carId;carVal;valId;valVal
26345;PROCESADOR;1693204;PROCESADOR: INTEL CORE I7-8665U
26345;PROCESADOR;1693205;PROCESADOR: INTEL CORE I5-8265U
26345;PROCESADOR;1693206;PROCESADOR: INTEL CORE I7-8565U
26345;PROCESADOR;1693207;PROCESADOR: INTEL CORE I9-9980HK
26345;PROCESADOR;1693208;PROCESADOR: INTEL XEON W-10885M
26345;PROCESADOR;1729928;PROCESADOR: INTEL CORE I7-1255U
26345;PROCESADOR;1925086;PROCESADOR: AMD Ryzen 5 PRO 7640HS
26345;PROCESADOR;1925091;PROCESADOR: AMD Ryzen 7 PRO 7840HS
26345;PROCESADOR;1925093;PROCESADOR: AMD Ryzen 9 PRO 7940HS
26345;PROCESADOR;1925107;PROCESADOR: INTEL CORE I5-1335U
26345;PROCESADOR;1925114;PROCESADOR: INTEL CORE I9-13900HX
26345;PROCESADOR;1925122;PROCESADOR: INTEL CORE I7-1360P
26345;PROCESADOR;1925130;PROCESADOR: INTEL CORE I7-1365U
26345;PROCESADOR;1925132;PROCESADOR: INTEL CORE I7-13700H
26345;PROCESADOR;1925126;PROCESADOR: INTEL CORE I7-1355U
26345;PROCESADOR;1925135;PROCESADOR: INTEL CORE I9-13900H
26345;PROCESADOR;1925138;PROCESADOR: INTEL CORE I7-13850HX
26345;PROCESADOR;1925117;PROCESADOR: INTEL CORE I7-13700HX
26345;PROCESADOR;1838474;PROCESADOR: INTEL CORE I7-13800H
26345;PROCESADOR;2746978;PROCESADOR: AMD Ryzen 7 PRO 8840HS
26345;PROCESADOR;2746979;PROCESADOR: AMD Ryzen 9 PRO 8945HS
26345;PROCESADOR;2746981;PROCESADOR: AMD Ryzen 7 8845HS
26345;PROCESADOR;2553602;PROCESADOR: INTEL CORE I9-13900K
26345;PROCESADOR;2747129;PROCESADOR: INTEL CORE ULTRA 7 165H
26345;PROCESADOR;2747144;PROCESADOR: INTEL CORE I5-13500H
26345;PROCESADOR;2131756;PROCESADOR: INTEL CORE I9-13950HX
26345;PROCESADOR;2745930;PROCESADOR: INTEL CORE ULTRA 9 185H
26345;PROCESADOR;3970896;PROCESADOR: INTEL CORE ULTRA 7 255H
26345;PROCESADOR;3970912;PROCESADOR: AMD RYZEN AI MAX PRO 385
26345;PROCESADOR;1729926;PROCESADOR: INTEL CORE I9-12950HX
26345;PROCESADOR;3970897;PROCESADOR: INTEL CORE ULTRA 9 285H
26345;PROCESADOR;3970913;PROCESADOR: MD RYZEN AI MAX+ PRO 395
26345;PROCESADOR;2747147;PROCESADOR: INTEL CORE I5-13600HX
26345;PROCESADOR;3970910;PROCESADOR: AMD RYZEN AI MAX PRO 380
26345;PROCESADOR;2746975;PROCESADOR: INTEL CORE ULTRA 7 155U
26345;PROCESADOR;2746980;PROCESADOR: AMD Ryzen 9 8945HS
26345;PROCESADOR;2746982;PROCESADOR: INTEL CORE I7-14700HX
26345;PROCESADOR;1969552;PROCESADOR: AMD Ryzen 5 7640HS
26345;PROCESADOR;1969554;PROCESADOR: AMD Ryzen 7 7840HS
26345;PROCESADOR;1969556;PROCESADOR: AMD Ryzen 9 7940HS
26345;PROCESADOR;2027766;PROCESADOR: INTEL CORE I5-1340P
26345;PROCESADOR;2027767;PROCESADOR: INTEL CORE I5-1350P
26345;PROCESADOR;2027769;PROCESADOR: INTEL CORE I7-1370P
26345;PROCESADOR;2749894;PROCESADOR: INTEL CORE ULTRA 7 165U
26345;PROCESADOR;2888913;PROCESADOR: INTEL CORE ULTRA 5 135H
26345;PROCESADOR;2888915;PROCESADOR: INTEL CORE ULTRA 5 125H
26345;PROCESADOR;2564509;PROCESADOR: INTEL CORE I9-14900HX
26345;PROCESADOR;2745929;PROCESADOR: INTEL CORE ULTRA 7 155H
26345;PROCESADOR;1742150;PROCESADOR: INTEL CORE I7-1265U
26345;PROCESADOR;3333083;PROCESADOR: AMD Ryzen 7 PRO 8845HS
26345;PROCESADOR;1728776;PROCESADOR: INTEL CORE I5-1240P
26346;RAM;2034106;RAM: 32 GB DDR5 5600 350 MHz
26346;RAM;1693209;RAM: 32 GB DDR5 4800 300 MHZ
26346;RAM;1693210;RAM: 16 GB DDR5 4800 300 MHZ
26346;RAM;1693211;RAM: 64 GB DDR4 2666 333 MHz
26346;RAM;1693212;RAM: 16 GB DDR4 3200 400 MHz
26346;RAM;1693213;RAM: 32 GB DDR4 3200 400 MHz
26346;RAM;1693214;RAM: 8 GB DDR4 3200 400 MHz
26346;RAM;1693215;RAM: 64 GB DDR4 3200 400 MHz
26346;RAM;1693216;RAM: 32 GB DDR4 2933 366 MHz
26346;RAM;1693217;RAM: 8 GB DDR4 2933 366 MHz
26346;RAM;1693218;RAM: 64 GB DDR4 2933 366 MHz
26346;RAM;1693219;RAM: 16 GB DDR4 2933 366 MHz
26346;RAM;1693220;RAM: 16 GB LPDDR5-6400 800 MHz
26346;RAM;1693221;RAM: 32 GB LPDDR5-6400 800  MHz
26346;RAM;1693222;RAM: 8 GB DDR4 2133 266 MHz
26346;RAM;1693223;RAM: 32 GB DDR4 2400 300 MHz
26346;RAM;1693224;RAM: 12 GB DDR4  2400 300 MHz.
26346;RAM;1693225;RAM: 16 GB DDR4 2400 300 MHz
26346;RAM;1693226;RAM: 8 GB DDR4 2400 300 MHz
26346;RAM;1693227;RAM: 16 GB DDR4 2666 333 MHz
26346;RAM;1693228;RAM: 32 GB DDR4 2666 333 MHz
26346;RAM;1693229;RAM: 8 GB DDR4 2666 333 MHz
26346;RAM;1693230;RAM: 8 GB DDR4 2666 233 MHz
26346;RAM;1693231;RAM: 16 GB DDR3L 1600 200 MHz
26346;RAM;1693232;RAM: 16 GB DDR4 2133 266 MHz
26346;RAM;1693233;RAM: 32 GB DDR3L 1600 200 MHz
26346;RAM;1693234;RAM: 32 GB DDR4 2133 266 MHz
26346;RAM;1693235;RAM: 8 GB DDR3 1600 200 MHz
26346;RAM;1693236;RAM: 8 GB DDR3L 1600 200 MHz
26346;RAM;1938001;RAM: 16 GB DDR5 4800  2400 MHz
26346;RAM;2144569;RAM: 16 GB DDR5 5200 2600 MHZ
26346;RAM;2564522;RAM: 16 GB DDR5 4800 600 MHz
26346;RAM;2564523;RAM: 64 GB DDR5 4800 600 MHz
26346;RAM;2564525;RAM: 8 GB DDR5 4800 600 MHz
26346;RAM;2642765;RAM: 16 GB LPDDR5X 7500 MHz
26346;RAM;2611038;RAM: 32 GB LPDDR5 6000 3000 MHz
26346;RAM;1728238;RAM: 64 GB DDR5 4800 300 MHZ
26346;RAM;1728239;RAM: 8 GB DDR5 4800 300 MHz
26346;RAM;2561485;RAM: 32 GB DDR5 4800 2400 MHz
26346;RAM;2747072;RAM: 8 GB LPDDR5X 7500 MHz
26346;RAM;2747073;RAM: 32 GB LPDDR5X 7500 MHz
26346;RAM;2747074;RAM: 64 GB LPDDR5X 7500 MHz
26346;RAM;3970856;RAM: 32 GB LPDDR5X 8533 4266 MHz
26346;RAM;3970858;RAM: 64 GB LPDDR5X 8533 4266 MHz
26346;RAM;3970859;RAM: 128 GB LPDDR5X 8533 4266 MHz
26346;RAM;3970857;RAM: 16 GB LPDDR5X 8533 4266 MHz
26346;RAM;2553636;RAM: 128 GB DDR5 3600 MHz
26346;RAM;2553639;RAM: 64 GB DDR5 4400 MHz
26346;RAM;2553641;RAM: 64 GB DDR5 5200 MHz
26346;RAM;1831524;RAM:16 GB DDR5 5200 2600 MHz
26346;RAM;1831531;RAM: 64 GB DDR5 5600 2800 MHz
26346;RAM;1831532;RAM: 32 GB DDR5 5200 2600 MHz
26346;RAM;1831525;RAM: 16 GB DDR5 5600 2800 MHz
26346;RAM;1831530;RAM: 32 GB DDR5 5600 2800 MHz
26346;RAM;2813993;RAM: 16 GB DDR5 4800 MHz
26346;RAM;2139846;RAM: 64 GB DDR5 4800 2400 MHz
26346;RAM;2564521;RAM: 32 GB DDR5 4800 600 MHz
26346;RAM;2611054;RAM: 64 GB DDR5 5200 2600 MHz
26346;RAM;3333115;RAM: 32 GB LPDDR5 7467 MHz
26346;RAM;2813997;RAM: 24 GB DDR5 4800 MHz
26346;RAM;2813998;RAM: 48 GB DDR5 4800 MHz
26346;RAM;2625880;RAM: 16 GB LPDDR5 6400 3200 MHz
26347;ALMACENAMIENTO;2641974;ALMACENAMIENTO: 3 X 1 TB M.2 SSD NVMe
26347;ALMACENAMIENTO;1693237;ALMACENAMIENTO: 1 TB SSD/2 TB SSD
26347;ALMACENAMIENTO;1693238;ALMACENAMIENTO: 512 GB SSD/2 TB HDD 5400 RPM
26347;ALMACENAMIENTO;1693239;ALMACENAMIENTO: 2 TB SSD
26347;ALMACENAMIENTO;1693240;ALMACENAMIENTO: 256 GB SSD/2 TB SSD
26347;ALMACENAMIENTO;1693241;ALMACENAMIENTO: 2 X 2 TB SSD
26347;ALMACENAMIENTO;1693242;ALMACENAMIENTO: 512 GB SSD/2 TB SSD
26347;ALMACENAMIENTO;1693243;ALMACENAMIENTO: 360 GB SSD/1 TB HDD 7200 RPM
26347;ALMACENAMIENTO;1693244;ALMACENAMIENTO: 1 TB SSHD 5400 RPM/ 8 GB NAND
26347;ALMACENAMIENTO;1693245;ALMACENAMIENTO: 360 GB SSD
26347;ALMACENAMIENTO;1693246;ALMACENAMIENTO: 256 GB SSD/1 TB HDD 5400 RPM
26347;ALMACENAMIENTO;1693247;ALMACENAMIENTO: 512 GB SSD/1 TB SSD
26347;ALMACENAMIENTO;1693248;ALMACENAMIENTO: 1 TB HDD 5400 RPM
26347;ALMACENAMIENTO;1693249;ALMACENAMIENTO: 1 TB HDD 7200 RPM
26347;ALMACENAMIENTO;1693250;ALMACENAMIENTO: 1 TB SSD
26347;ALMACENAMIENTO;1693251;ALMACENAMIENTO: 2 X 512 GB SSD
26347;ALMACENAMIENTO;1693252;ALMACENAMIENTO: 256 GB SSD
26347;ALMACENAMIENTO;1693253;ALMACENAMIENTO: 256 GB SSD/1 TB HDD 7200 RPM
26347;ALMACENAMIENTO;1693254;ALMACENAMIENTO: 256 GB SSD/2 X 512 GB SSD
26347;ALMACENAMIENTO;1693255;ALMACENAMIENTO: 500 GB HDD 7200 RPM
26347;ALMACENAMIENTO;1693256;ALMACENAMIENTO: 512 GB SSD
26347;ALMACENAMIENTO;1693257;ALMACENAMIENTO: 2 X 1 TB SSD
26347;ALMACENAMIENTO;1693258;ALMACENAMIENTO: 1 TB SSD/1 TB HDD 5400 RPM
26347;ALMACENAMIENTO;1693259;ALMACENAMIENTO: 512 GB SSD/1 TB 5400 RPM
26347;ALMACENAMIENTO;1693260;ALMACENAMIENTO: 512 GB SSD/1 TB HDD 7200 RPM
26347;ALMACENAMIENTO;1693261;ALMACENAMIENTO: 256 GB SSD/1 TB SSD
26347;ALMACENAMIENTO;2635881;ALMACENAMIENTO: 1 TB SSD/4 TB SSD
26347;ALMACENAMIENTO;1838469;ALMACENAMIENTO: 1 TB M.2 SSD NVMe
26348;PANTALLA;1693262;PANTALLA: LCD CON RETROILUMINACION LED 15.6" 1920X1200 PIXELES
26348;PANTALLA;1693263;PANTALLA: LCD CON RETROILUMINACION LED 14.0" 3840X2160 PIXELES
26348;PANTALLA;1693264;PANTALLA: LCD CON RETROILUMINACION LED TACTIL 15.6" 3840X2400 PIXELES
26348;PANTALLA;1693265;PANTALLA: LCD CON RETROILUMINACION LED 16" 1920X1200 PIXELES
26348;PANTALLA;1693266;PANTALLA: LCD CON RETROILUMINACION LED 15.6" 1366X768 PIXELES
26348;PANTALLA;1693267;PANTALLA: LCD CON RETROILUMINACION LED 17.0" 3840X2400 PIXELES
26348;PANTALLA;1693268;PANTALLA: LCD CON RETROILUMINACION LED 15.6" 3840X2400 PIXELES
26348;PANTALLA;1693269;PANTALLA: LCD CON RETROILUMINACION LED TACTIL 17.0" 3840X2400 PIXELES
26348;PANTALLA;1693270;PANTALLA: LCD CON RETROILUMINACION LED 16" 2560 X1600 PIXELES
26348;PANTALLA;1693271;PANTALLA: LCD CON RETROILUMINACION LED 14" 1920X1200 PIXELES
