Categ;TípoProd;CodProd;DescProd;TipoGen;Caract
CE;ALMACENAMIENTO;1597861;ALMACENAMIENTO: 128 GB SSD;ALMACENAMIENTO;128 GB SSD
CE;ALMACENAMIENTO;1597024;ALMACENAMIENTO: 128 GB SSD;ALMACENAMIENTO;128 GB SSD
CE;ALMACENAMIENTO;1597908;ALMACENAMIENTO: 128 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;128 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597915;ALMACENAMIENTO: 128 GB SSD/2 TB HDD 7200 RPM;ALMACENAMIENTO;128 GB SSD/2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597902;ALMACENAMIENTO: 128 GB SSD/2 TB SSD;ALMACENAMIENTO;128 GB SSD/2 TB SSD
CE;RAM;1597812;RAM: 16 GB DDR3 1600 200 MHz;RAM;16 GB DDR3 1600 200 MHz
CE;RAM;1597816;RAM: 16 GB DDR3 1866 233 MHz;RAM;16 GB DDR3 1866 233 MHz
CE;RAM;1597815;RAM: 16 GB DDR3 2133 266 MHz;RAM;16 GB DDR3 2133 266 MHz
CE;RAM;1597011;RAM: 16 GB DDR3L 1600 200 MHz;RAM;16 GB DDR3L 1600 200 MHz
CE;RAM;1597001;RAM: 16 GB DDR4 19200 2400 MHz;RAM;16 GB DDR4 19200 2400 MHz
CE;RAM;1597820;RAM: 16 GB DDR4 2133 266 MHz;RAM;16 GB DDR4 2133 266 MHz
CE;RAM;1597817;RAM: 16 GB DDR4 2400 300 MHz;RAM;16 GB DDR4 2400 300 MHz
CE;RAM;1596996;RAM: 16 GB DDR4 2400 MHz;RAM;16 GB DDR4 2400 MHz
CE;RAM;1597826;RAM: 16 GB DDR4 2666 233 MHz;RAM;16 GB DDR4 2666 233 MHz
CE;RAM;1597828;RAM: 16 GB DDR4 2666 333 MHz;RAM;16 GB DDR4 2666 333 MHz
CE;RAM;1596995;RAM: 16 GB DDR4 2666 MHz;RAM;16 GB DDR4 2666 MHz
CE;RAM;1597788;RAM: 16 GB DDR4 2933 366 MHz;RAM;16 GB DDR4 2933 366 MHz
CE;RAM;1997705;RAM: 16 GB DDR4 3200 1600 MHz;RAM;16 GB DDR4 3200 1600 MHz
CE;RAM;1597790;RAM: 16 GB DDR4 3200 400 MHz;RAM;16 GB DDR4 3200 400 MHz
CE;RAM;2748534;RAM: 16 GB DDR4 3200 MHz;RAM;16 GB DDR4 3200 MHz
CE;RAM;1997708;RAM: 16 GB DDR4 4800 2400 MHz;RAM;16 GB DDR4 4800 2400 MHz
CE;RAM;1742146;RAM: 16 GB DDR5 4000 MHz;RAM;16 GB DDR5 4000 MHz
CE;RAM;1597780;RAM: 16 GB DDR5 4400 MHz;RAM;16 GB DDR5 4400 MHz
CE;RAM;1597771;RAM: 16 GB DDR5 4800;RAM;16 GB DDR5 4800
CE;RAM;1997696;RAM: 16 GB DDR5 4800 2400 MHz;RAM;16 GB DDR5 4800 2400 MHz
CE;RAM;1597778;RAM: 16 GB DDR5 4800 300 MHz;RAM;16 GB DDR5 4800 300 MHz
CE;RAM;1597831;RAM: 16 GB DDR5 4800 600 MHz;RAM;16 GB DDR5 4800 600 MHz
CE;RAM;2774506;RAM: 16 GB DDR5 5200 650 MHz;RAM;16 GB DDR5 5200 650 MHz
CE;RAM;2888907;RAM: 16 GB DDR5 5200 MHz;RAM;16 GB DDR5 5200 MHz
CE;RAM;2131864;RAM: 16 GB DDR5 5600 700 MHz;RAM;16 GB DDR5 5600 700 MHz
CE;RAM;1761815;RAM: 16 GB DDR5 5600 MHz;RAM;16 GB DDR5 5600 MHz
CE;ALMACENAMIENTO;1597028;ALMACENAMIENTO: 16 GB SSD;ALMACENAMIENTO;16 GB SSD
CE;ALMACENAMIENTO;1597031;ALMACENAMIENTO: 16 GB SSD/1 TB HDD 5400 RPM;ALMACENAMIENTO;16 GB SSD/1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597021;ALMACENAMIENTO: 16 GB SSD/240 GB SSD;ALMACENAMIENTO;16 GB SSD/240 GB SSD
CE;ALMACENAMIENTO;1597039;ALMACENAMIENTO: 1TB HD 5400RPM / 256 GB SSD;ALMACENAMIENTO;1TB HD 5400RPM / 256 GB SSD
CE;ALMACENAMIENTO;1597040;ALMACENAMIENTO: 1TB SSD;ALMACENAMIENTO;1TB SSD
CE;ALMACENAMIENTO;1597943;ALMACENAMIENTO: 1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5”;ALMACENAMIENTO;1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5”
CE;RAM;1597798;RAM: 2 GB DDR3 1333 166 MHz;RAM;2 GB DDR3 1333 166 MHz
CE;RAM;1597796;RAM: 2 GB DDR3 1600 200 MHz;RAM;2 GB DDR3 1600 200 MHz
CE;RAM;1597014;RAM: 2 GB DDR3L 1066 133 MHz;RAM;2 GB DDR3L 1066 133 MHz
CE;RAM;1597008;RAM: 2 GB DDR3L 1333 166 MHz;RAM;2 GB DDR3L 1333 166 MHz
CE;RAM;1597020;RAM: 2 GB DDR3L 1600 200 MHz;RAM;2 GB DDR3L 1600 200 MHz
CE;RAM;1597004;RAM: 2 GB DRR3L 1066 133 MHz;RAM;2 GB DRR3L 1066 133 MHz
CE;ALMACENAMIENTO;1597870;ALMACENAMIENTO: 2 TB HDD 5400 RPM;ALMACENAMIENTO;2 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597875;ALMACENAMIENTO: 2 TB HDD 7200 RPM;ALMACENAMIENTO;2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597883;ALMACENAMIENTO: 2 TB SSD;ALMACENAMIENTO;2 TB SSD
CE;ALMACENAMIENTO;2625911;ALMACENAMIENTO: 2 TB SSD / 1 TB HDD 7200 RPM;ALMACENAMIENTO;2 TB SSD / 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;2625913;ALMACENAMIENTO: 2 TB SSD / 2 TB HDD 7200 RPM;ALMACENAMIENTO;2 TB SSD / 2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597886;ALMACENAMIENTO: 2 TB SSD/4 TB HDD 7200 RPM;ALMACENAMIENTO;2 TB SSD/4 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597878;ALMACENAMIENTO: 2 X 1 TB HDD 7200 RPM;ALMACENAMIENTO;2 X 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;2130815;ALMACENAMIENTO: 2 x 1 TB M.2 SSD NVMe;ALMACENAMIENTO;2 x 1 TB M.2 SSD NVMe
CE;ALMACENAMIENTO;2132242;ALMACENAMIENTO: 2 x 1 TB SSD;ALMACENAMIENTO;2 x 1 TB SSD
CE;ALMACENAMIENTO;2130817;ALMACENAMIENTO: 2 x 2 TB M.2 SSD NVMe;ALMACENAMIENTO;2 x 2 TB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597887;ALMACENAMIENTO: 2 X 500 GB HDD 7200 RPM;ALMACENAMIENTO;2 X 500 GB HDD 7200 RPM
CE;RAM;1838395;RAM: 24 GB DDR4 3200 400 MHz;RAM;24 GB DDR4 3200 400 MHz
CE;RAM;2813940;RAM: 24 GB DDR5 4800 MHz;RAM;24 GB DDR5 4800 MHz
CE;G. F;1598024;G. F: 24 MESES CARRY-IN;G. F;24 MESES CARRY-IN
CE;G. F;1597110;G. F: 24 MESES CARRY-IN;G. F;24 MESES CARRY-IN
CE;G. F;1598017;G. F: 24 MESES ON-SITE;G. F;24 MESES ON-SITE
CE;G. F;1597109;G. F: 24 MESES ON-SITE;G. F;24 MESES ON-SITE
CE;ALMACENAMIENTO;1597917;ALMACENAMIENTO: 240 GB M.2 SSD NVMe;ALMACENAMIENTO;240 GB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597940;ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM;ALMACENAMIENTO;240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597941;ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM;ALMACENAMIENTO;240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597928;ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 960 GB M.2 SSD NVMe;ALMACENAMIENTO;240 GB M.2 SSD NVMe/ 960 GB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597871;ALMACENAMIENTO: 240 GB SSD;ALMACENAMIENTO;240 GB SSD
CE;ALMACENAMIENTO;1597026;ALMACENAMIENTO: 240 GB SSD;ALMACENAMIENTO;240 GB SSD
CE;ALMACENAMIENTO;1597901;ALMACENAMIENTO: 240 GB SSD/1 TB HDD 5400 RPM;ALMACENAMIENTO;240 GB SSD/1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597846;ALMACENAMIENTO: 240 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;240 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597865;ALMACENAMIENTO: 240 GB SSD/2 TB HDD 5400 RPM;ALMACENAMIENTO;240 GB SSD/2 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597838;ALMACENAMIENTO: 240 GB SSD/2 TB HDD 7200 RPM;ALMACENAMIENTO;240 GB SSD/2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597844;ALMACENAMIENTO: 240 GB SSD/2 X 2 TB HDD 7200 RPM;ALMACENAMIENTO;240 GB SSD/2 X 2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597840;ALMACENAMIENTO: 240 GB SSD/3 TB HDD 7200 RPM;ALMACENAMIENTO;240 GB SSD/3 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597873;ALMACENAMIENTO: 240 GB SSD/4 TB HDD 7200 RPM;ALMACENAMIENTO;240 GB SSD/4 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597045;ALMACENAMIENTO: 250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597905;ALMACENAMIENTO: 250 GB M.2 SSD NVMe/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB M.2 SSD NVMe/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597923;ALMACENAMIENTO: 250 GB M.2 SSD/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB M.2 SSD/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597926;ALMACENAMIENTO: 250 GB M.2 SSD/ 2 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB M.2 SSD/ 2 TB HDD 7200 RPM
