"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1720405;"LARGO: 80 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";2627694;"LARGO: 100 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1720404;"LARGO: 100.45 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1717928;"LARGO: 146 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1801775;"ANCHO: 69.95 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";2627698;"ANCHO: 69.90 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1720408;"ANCHO: 22 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1720407;"ANCHO: 69.85 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1717930;"ANCHO: 101 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1717931;"ESPESOR: 25.4 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720411;"ESPESOR: 3.5 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720409;"ESPESOR: 7 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";2627701;"ESPESOR: 2.2 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720412;"ESPESOR: 3.13 MM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1717932;"MATERIAL: PLASTICO"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1717933;"MATERIAL: METAL"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1720413;"MATERIAL: PLASTICO CON PCB (PLACA DE CIRCUITO IMPRESO)"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26926;"FUENTE_DE_ELECTRICIDAD_VDC";1717934;"FUENTE ELECTRICIDAD: 5 VDC"
