"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
681;"IX";"00000000IX";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597878;"ALMACENAMIENTO: 2 X 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 2 X 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 2 X 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"2 X 1 TB HDD 7200 RPM"
682;"IY";"00000000IY";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597879;"ALMACENAMIENTO: 256 GB M.2 SSD/ 2 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 2 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 2 TB HDD 7200 RPM";"ALMACENAMIENTO";"256 GB M.2 SSD/ 2 TB HDD 7200 RPM"
683;"IZ";"00000000IZ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597930;"ALMACENAMIENTO: 500 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB M.2 SSD/ 1 TB HDD 7200 RPM"
684;"J0";"00000000J0";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597931;"ALMACENAMIENTO: 480 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"480 GB M.2 SSD/ 1 TB HDD 7200 RPM"
685;"J1";"00000000J1";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597932;"ALMACENAMIENTO: 1 TB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB M.2 SSD/ 1 TB HDD 7200 RPM"
686;"J2";"00000000J2";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597933;"ALMACENAMIENTO: 1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM"
687;"J3";"00000000J3";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597934;"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO";"1 TB M.2 SSD"
688;"J4";"00000000J4";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597935;"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO";"480 GB M.2 SSD NVMe"
689;"J5";"00000000J5";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597936;"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO";"480 GB M.2 SSD"
690;"J6";"00000000J6";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597937;"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO";"1 TB M.2 SSD NVMe"
691;"J7";"00000000J7";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597938;"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO";"480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM"
692;"J8";"00000000J8";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597939;"ALMACENAMIENTO: 960 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 960 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 960 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO";"960 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM"
693;"J9";"00000000J9";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597940;"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM";"ALMACENAMIENTO";"240 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM"
694;"JA";"00000000JA";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597941;"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO";"240 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM"
695;"JB";"00000000JB";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597942;"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM";"ALMACENAMIENTO";"480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM"
696;"JC";"00000000JC";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597943;"ALMACENAMIENTO: 1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5”";"ALMACENAMIENTO: 1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5""";"ALMACENAMIENTO: 1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5""";"ALMACENAMIENTO";"1TB. SATA III, 6 GB/s, 7200 RPM. + SSD 1 TB SATA 6GB/s 2.5"""
697;"JD";"00000000JD";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1744331;"ALMACENAMIENTO: 1 TB M.2 SSD / 2 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD / 2 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB M.2 SSD / 2 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB M.2 SSD / 2 TB HDD 7200 RPM"
698;"JE";"00000000JE";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597021;"ALMACENAMIENTO: 16 GB SSD/240 GB SSD";"ALMACENAMIENTO: 16 GB SSD/240 GB SSD";"ALMACENAMIENTO: 16 GB SSD/240 GB SSD";"ALMACENAMIENTO";"16 GB SSD/240 GB SSD"
699;"JF";"00000000JF";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597022;"ALMACENAMIENTO: 64 GB SSD";"ALMACENAMIENTO: 64 GB SSD";"ALMACENAMIENTO: 64 GB SSD";"ALMACENAMIENTO";"64 GB SSD"
700;"JG";"00000000JG";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597023;"ALMACENAMIENTO: 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB HDD 7200 RPM"
701;"JH";"00000000JH";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597024;"ALMACENAMIENTO: 128 GB SSD";"ALMACENAMIENTO: 128 GB SSD";"ALMACENAMIENTO: 128 GB SSD";"ALMACENAMIENTO";"128 GB SSD"
702;"JI";"00000000JI";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597025;"ALMACENAMIENTO: 8 GB SSD/500 GB HDD 5400 RPM";"ALMACENAMIENTO: 8 GB SSD/500 GB HDD 5400 RPM";"ALMACENAMIENTO: 8 GB SSD/500 GB HDD 5400 RPM";"ALMACENAMIENTO";"8 GB SSD/500 GB HDD 5400 RPM"
703;"JJ";"00000000JJ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597026;"ALMACENAMIENTO: 240 GB SSD";"ALMACENAMIENTO: 240 GB SSD";"ALMACENAMIENTO: 240 GB SSD";"ALMACENAMIENTO";"240 GB SSD"
704;"JK";"00000000JK";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597027;"ALMACENAMIENTO: 500 GB HDD 5400 RPM";"ALMACENAMIENTO: 500 GB HDD 5400 RPM";"ALMACENAMIENTO: 500 GB HDD 5400 RPM";"ALMACENAMIENTO";"500 GB HDD 5400 RPM"
705;"JL";"00000000JL";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597028;"ALMACENAMIENTO: 16 GB SSD";"ALMACENAMIENTO: 16 GB SSD";"ALMACENAMIENTO: 16 GB SSD";"ALMACENAMIENTO";"16 GB SSD"
706;"JM";"00000000JM";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597029;"ALMACENAMIENTO: 8 GB SSD";"ALMACENAMIENTO: 8 GB SSD";"ALMACENAMIENTO: 8 GB SSD";"ALMACENAMIENTO";"8 GB SSD"
707;"JN";"00000000JN";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597030;"ALMACENAMIENTO: 32 GB SSD";"ALMACENAMIENTO: 32 GB SSD";"ALMACENAMIENTO: 32 GB SSD";"ALMACENAMIENTO";"32 GB SSD"
708;"JO";"00000000JO";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597031;"ALMACENAMIENTO: 16 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 16 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 16 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO";"16 GB SSD/1 TB HDD 5400 RPM"
709;"JP";"00000000JP";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597032;"ALMACENAMIENTO: 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB HDD 7200 RPM"
710;"JQ";"00000000JQ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597033;"ALMACENAMIENTO: 8 GB-1 TB SSHD 5400 RPM";"ALMACENAMIENTO: 8 GB-1 TB SSHD 5400 RPM";"ALMACENAMIENTO: 8 GB-1 TB SSHD 5400 RPM";"ALMACENAMIENTO";"8 GB-1 TB SSHD 5400 RPM"
711;"JR";"00000000JR";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597034;"ALMACENAMIENTO: 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 1 TB HDD 5400 RPM";"ALMACENAMIENTO: 1 TB HDD 5400 RPM";"ALMACENAMIENTO";"1 TB HDD 5400 RPM"
712;"JS";"00000000JS";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597035;"ALMACENAMIENTO: 8 GB-500 GB SSHD 5400 RPM";"ALMACENAMIENTO: 8 GB-500 GB SSHD 5400 RPM";"ALMACENAMIENTO: 8 GB-500 GB SSHD 5400 RPM";"ALMACENAMIENTO";"8 GB-500 GB SSHD 5400 RPM"
713;"JT";"00000000JT";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597036;"ALMACENAMIENTO: 256 GB SATA SSD";"ALMACENAMIENTO: 256 GB SATA SSD";"ALMACENAMIENTO: 256 GB SATA SSD";"ALMACENAMIENTO";"256 GB SATA SSD"
714;"JU";"00000000JU";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597037;"ALMACENAMIENTO: 64 GB FLASH SSD";"ALMACENAMIENTO: 64 GB FLASH SSD";"ALMACENAMIENTO: 64 GB FLASH SSD";"ALMACENAMIENTO";"64 GB FLASH SSD"
715;"JV";"00000000JV";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597038;"ALMACENAMIENTO: 8 GB FLASH SSD";"ALMACENAMIENTO: 8 GB FLASH SSD";"ALMACENAMIENTO: 8 GB FLASH SSD";"ALMACENAMIENTO";"8 GB FLASH SSD"
716;"JW";"00000000JW";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597039;"ALMACENAMIENTO: 1TB HD 5400RPM / 256 GB SSD";"ALMACENAMIENTO: 1TB HD 5400RPM / 256 GB SSD";"ALMACENAMIENTO: 1TB HD 5400RPM / 256 GB SSD";"ALMACENAMIENTO";"1TB HD 5400RPM / 256 GB SSD"
717;"JX";"00000000JX";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597040;"ALMACENAMIENTO: 1TB SSD";"ALMACENAMIENTO: 1TB SSD";"ALMACENAMIENTO: 1TB SSD";"ALMACENAMIENTO";"1TB SSD"
718;"JY";"00000000JY";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597041;"ALMACENAMIENTO: 250 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"250 GB SSD/1 TB HDD 7200 RPM"
719;"JZ";"00000000JZ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597042;"ALMACENAMIENTO: 500 GB M.2 NVMe SSD";"ALMACENAMIENTO: 500 GB M.2 NVMe SSD";"ALMACENAMIENTO: 500 GB M.2 NVMe SSD";"ALMACENAMIENTO";"500 GB M.2 NVMe SSD"
720;"K0";"00000000K0";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597043;"ALMACENAMIENTO: 500 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB M.2 SSD/1 TB HDD 7200 RPM"
721;"K1";"00000000K1";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597044;"ALMACENAMIENTO: 250 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB M.2 SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"250 GB M.2 SSD/1 TB HDD 7200 RPM"
722;"K2";"00000000K2";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597045;"ALMACENAMIENTO: 250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"250 GB M.2 NVMe SSD/1 TB HDD 7200 RPM"
723;"K3";"00000000K3";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597046;"ALMACENAMIENTO: 500 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB SSD/1 TB HDD 7200 RPM"
724;"K4";"00000000K4";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597047;"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO";"500 GB SSD"
725;"K5";"00000000K5";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597048;"ALMACENAMIENTO: 500 GB M.2 SSD";"ALMACENAMIENTO: 500 GB M.2 SSD";"ALMACENAMIENTO: 500 GB M.2 SSD";"ALMACENAMIENTO";"500 GB M.2 SSD"
726;"K6";"00000000K6";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597049;"ALMACENAMIENTO: 1 TB SSD";"ALMACENAMIENTO: 1 TB SSD";"ALMACENAMIENTO: 1 TB SSD";"ALMACENAMIENTO";"1 TB SSD"
727;"K7";"00000000K7";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597050;"ALMACENAMIENTO: 500 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB M.2 NVMe SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB M.2 NVMe SSD/1 TB HDD 7200 RPM"
728;"K8";"00000000K8";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597051;"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO: 480 GB M.2 SSD NVMe";"ALMACENAMIENTO";"480 GB M.2 SSD NVMe"
729;"K9";"00000000K9";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597052;"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO: 480 GB M.2 SSD";"ALMACENAMIENTO";"480 GB M.2 SSD"
730;"KA";"00000000KA";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597053;"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO: 1 TB M.2 SSD";"ALMACENAMIENTO";"1 TB M.2 SSD"
731;"KB";"00000000KB";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597054;"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO: 1 TB M.2 SSD NVMe";"ALMACENAMIENTO";"1 TB M.2 SSD NVMe"
732;"KC";"00000000KC";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597880;"ALMACENAMIENTO: 256 GB M.2 SSD";"ALMACENAMIENTO: 256 GB M.2 SSD";"ALMACENAMIENTO: 256 GB M.2 SSD";"ALMACENAMIENTO";"256 GB M.2 SSD"
733;"KD";"00000000KD";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597881;"ALMACENAMIENTO: 256 GB M.2 SSD/ 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 500 GB HDD 7200 RPM";"ALMACENAMIENTO";"256 GB M.2 SSD/ 500 GB HDD 7200 RPM"
734;"KE";"00000000KE";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597882;"ALMACENAMIENTO: 256 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB M.2 SSD/ 1 TB HDD 7200 RPM";"ALMACENAMIENTO";"256 GB M.2 SSD/ 1 TB HDD 7200 RPM"
735;"KF";"00000000KF";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597883;"ALMACENAMIENTO: 2 TB SSD";"ALMACENAMIENTO: 2 TB SSD";"ALMACENAMIENTO: 2 TB SSD";"ALMACENAMIENTO";"2 TB SSD"
736;"KG";"00000000KG";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597884;"ALMACENAMIENTO: 480 GB SSD/3 TB HDD 7200 RPM";"ALMACENAMIENTO: 480 GB SSD/3 TB HDD 7200 RPM";"ALMACENAMIENTO: 480 GB SSD/3 TB HDD 7200 RPM";"ALMACENAMIENTO";"480 GB SSD/3 TB HDD 7200 RPM"
737;"KH";"00000000KH";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597885;"ALMACENAMIENTO: 1 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB SSD/4 TB HDD 7200 RPM"
738;"KI";"00000000KI";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597886;"ALMACENAMIENTO: 2 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 2 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 2 TB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO";"2 TB SSD/4 TB HDD 7200 RPM"
739;"KJ";"00000000KJ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597887;"ALMACENAMIENTO: 2 X 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 2 X 500 GB HDD 7200 RPM";"ALMACENAMIENTO: 2 X 500 GB HDD 7200 RPM";"ALMACENAMIENTO";"2 X 500 GB HDD 7200 RPM"
740;"KK";"00000000KK";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597888;"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO: 500 GB SSD";"ALMACENAMIENTO";"500 GB SSD"
741;"KL";"00000000KL";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597889;"ALMACENAMIENTO: 4 TB SSD";"ALMACENAMIENTO: 4 TB SSD";"ALMACENAMIENTO: 4 TB SSD";"ALMACENAMIENTO";"4 TB SSD"
742;"KM";"00000000KM";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597890;"ALMACENAMIENTO: 500 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB SSD/4 TB HDD 7200 RPM"
743;"KN";"00000000KN";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597891;"ALMACENAMIENTO: 500 GB SSD/6 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/6 TB HDD 7200 RPM";"ALMACENAMIENTO: 500 GB SSD/6 TB HDD 7200 RPM";"ALMACENAMIENTO";"500 GB SSD/6 TB HDD 7200 RPM"
744;"KO";"00000000KO";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597892;"ALMACENAMIENTO: 1 TB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB SSD/2 TB HDD 7200 RPM"
745;"KP";"00000000KP";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597893;"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 7200 RPM";"ALMACENAMIENTO";"512 GB SSD/4 TB HDD 7200 RPM"
746;"KQ";"00000000KQ";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597894;"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO: 512 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO";"512 GB SSD/4 TB HDD 5400 RPM"
747;"KR";"00000000KR";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597895;"ALMACENAMIENTO: 256 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 256 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO";"256 GB SSD/2 TB HDD 7200 RPM"
748;"KS";"00000000KS";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597896;"ALMACENAMIENTO: 1 TB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 1 TB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"1 TB SSD/1 TB HDD 7200 RPM"
749;"KT";"00000000KT";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597897;"ALMACENAMIENTO: 512 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/2 TB HDD 7200 RPM";"ALMACENAMIENTO";"512 GB SSD/2 TB HDD 7200 RPM"
750;"KU";"00000000KU";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597898;"ALMACENAMIENTO: 256 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 256 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 256 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO";"256 GB SSD/1 TB HDD 5400 RPM"
751;"KV";"00000000KV";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597899;"ALMACENAMIENTO: 512 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO: 512 GB SSD/1 TB HDD 7200 RPM";"ALMACENAMIENTO";"512 GB SSD/1 TB HDD 7200 RPM"
752;"KW";"00000000KW";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597900;"ALMACENAMIENTO: 480 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO: 480 GB SSD/4 TB HDD 5400 RPM";"ALMACENAMIENTO";"480 GB SSD/4 TB HDD 5400 RPM"
753;"KX";"00000000KX";"COMPUTADORA DE ESCRITORIO";26213;"ALMACENAMIENTO";1597901;"ALMACENAMIENTO: 240 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO: 240 GB SSD/1 TB HDD 5400 RPM";"ALMACENAMIENTO";"240 GB SSD/1 TB HDD 5400 RPM"
