"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
26;"Q";"000000000Q";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698751;"INTERFAZ: USB";"INTERFAZ: USB";"INTERFAZ: USB";"INTERFAZ";"USB"
27;"R";"000000000R";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698752;"INTERFAZ: ESATA";"INTERFAZ: ESATA";"INTERFAZ: ESATA";"INTERFAZ";"ESATA"
28;"S";"000000000S";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698753;"INTERFAZ: PCLE/NVME";"INTERFAZ: PCLE/NVME";"INTERFAZ: PCLE/NVME";"INTERFAZ";"PCLE/NVME"
29;"T";"000000000T";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698754;"INTERFAZ: FIREWIRE";"INTERFAZ: FIREWIRE";"INTERFAZ: FIREWIRE";"INTERFAZ";"FIREWIRE"
30;"U";"000000000U";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698755;"INTERFAZ: SATA";"INTERFAZ: SATA";"INTERFAZ: SATA";"INTERFAZ";"SATA"
31;"V";"000000000V";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717904;"VELOCIDAD DE ROTACION: 7200 RPM";"VELOCIDAD DE ROTACION: 7200 RPM";"VELOCIDAD DE ROTACION: 7200 RPM";"VELOCIDAD DE ROTACION";"7200 RPM"
32;"W";"000000000W";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717906;"VELOCIDAD DE ROTACION: 5400 RPM";"VELOCIDAD DE ROTACION: 5400 RPM";"VELOCIDAD DE ROTACION: 5400 RPM";"VELOCIDAD DE ROTACION";"5400 RPM"
33;"X";"000000000X";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717907;"VELOCIDAD DE ROTACION: NO APLICA";"VELOCIDAD DE ROTACION: NO APLICA";"VELOCIDAD DE ROTACION: NO APLICA";"VELOCIDAD DE ROTACION";"NO APLICA"
34;"Y";"000000000Y";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26920;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS";1717911;"VELOCIDAD ESCRITURA: 1 MB/s A 50MB/s";"VELOCIDAD ESCRITURA: 1 MB/s A 50MB/s";"VELOCIDAD ESCRITURA: 1 MB/s A 50MB/s";"VELOCIDAD ESCRITURA";"1 MB/s A 50MB/s"
35;"Z";"000000000Z";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26920;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS";1717912;"VELOCIDAD ESCRITURA: 501 MB/s A 2500 MB/s";"VELOCIDAD ESCRITURA: 501 MB/s A 2500 MB/s";"VELOCIDAD ESCRITURA: 501 MB/s A 2500 MB/s";"VELOCIDAD ESCRITURA";"501 MB/s A 2500 MB/s"
