IdCateg,ValCateg,IdCaract,ValCaract,IdValue,ValValue,TextoPDFCom
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399394,INTEL CORE I5-12500,Intel® Core™ I5-12500
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399395,INTEL CORE I5-12500T,Intel® Core™ I5-12500T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399396,INTEL CORE I5-13400,Intel® Core™ I5-13400
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399397,INTEL CORE I5-13400F,Intel® Core™ I5-13400F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399398,INTEL CORE I5-13500,Intel® Core™ I5-13500
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399399,INTEL CORE I5-13500T,Intel® Core™ I5-13500T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399400,INTEL CORE I5-13600K,Intel® Core™ I5-13600K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399401,INTEL CORE I5-13600KF,Intel® Core™ I5-13600KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399402,INTEL CORE I5-14400,Intel® Core™ I5-14400
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399403,INTEL CORE I5-14500,Intel® Core™ I5-14500
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399404,INTEL CORE I5-14500T,Intel® Core™ I5-14500T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399405,INTEL CORE I5-14600K,Intel® Core™ I5-14600K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399406,INTEL CORE I5-14600KF,Intel® Core™ I5-14600KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399407,INTEL CORE I7-10700,Intel® Core™ I7-10700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399408,INTEL CORE I7-10700F,Intel® Core™ I7-10700F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399409,INTEL CORE I7-10700K,Intel® Core™ I7-10700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399410,INTEL CORE i7-11700,Intel® Core™ i7-11700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399411,INTEL CORE i7-11700F,Intel® Core™ i7-11700F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399412,INTEL CORE i7-11700K,Intel® Core™ i7-11700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399413,INTEL CORE I7-12700,Intel® Core™ I7-12700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399414,INTEL CORE I7-12700F,Intel® Core™ I7-12700F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399415,INTEL CORE I7-12700K,Intel® Core™ I7-12700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399416,INTEL CORE I7-12700KF,Intel® Core™ I7-12700KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399417,INTEL CORE I7-12700T,Intel® Core™ I7-12700T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399418,INTEL CORE I7-13700,Intel® Core™ I7-13700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399419,INTEL CORE I7-13700F,Intel® Core™ I7-13700F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399420,INTEL CORE I7-13700K,Intel® Core™ I7-13700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399421,INTEL CORE I7-13700KF,Intel® Core™ I7-13700KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399422,INTEL CORE I7-13700T,Intel® Core™ I7-13700T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399423,INTEL CORE I7-14700,Intel® Core™ I7-14700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399424,INTEL CORE I7-14700F,Intel® Core™ I7-14700F
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399425,INTEL CORE I7-14700K,Intel® Core™ I7-14700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399426,INTEL CORE I7-14700KF,Intel® Core™ I7-14700KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399427,INTEL CORE I7-14700T,Intel® Core™ I7-14700T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399428,INTEL CORE I7-9700,Intel® Core™ I7-9700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399429,INTEL CORE I7-9700K,Intel® Core™ I7-9700K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399430,INTEL CORE i9-11900K,Intel® Core™ i9-11900K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399431,INTEL CORE I9-12900,Intel® Core™ I9-12900
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399432,INTEL CORE I9-12900K,Intel® Core™ I9-12900K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399433,INTEL CORE I9-13900,Intel® Core™ I9-13900
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399434,INTEL CORE I9-13900K,Intel® Core™ I9-13900K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399435,INTEL CORE I9-13900KF,Intel® Core™ I9-13900KF
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399436,INTEL CORE I9-14900,Intel® Core™ I9-14900
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399437,INTEL CORE I9-14900K,Intel® Core™ I9-14900K
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399438,AMD RYZEN 5 7600,AMD Ryzen™ 5 7600
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399439,AMD RYZEN 5 7600G,null
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399440,AMD RYZEN 5 7600X,AMD Ryzen™ 5 7600X
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399441,AMD RYZEN 7 7700,AMD Ryzen™ 7 7700
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399442,AMD RYZEN 7 7700X,AMD Ryzen™ 7 7700X
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399443,AMD RYZEN 7 7800G,null
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399444,AMD RYZEN 7 7800X3D,AMD Ryzen™ 7 7800X3D
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399445,AMD RYZEN 9 7900,AMD Ryzen™ 9 7900
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399446,AMD RYZEN 9 7900X,AMD Ryzen™ 9 7900X
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399447,AMD RYZEN 9 7950X,AMD Ryzen™ 9 7950X
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399448,AMD RYZEN 9 7950X3D,AMD Ryzen™ 9 7950X3D
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399449,INTEL CORE I3-12100T,Intel® Core™ I3-12100T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399450,INTEL CORE I3-12300,Intel® Core™ I3-12300
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399451,INTEL CORE I3-12300T,Intel® Core™ I3-12300T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399452,INTEL CORE I3-13100T,Intel® Core™ I3-13100T
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399453,INTEL CORE I3-13300,Intel® Core™ I3-13300
12518,COMPUTADORA DE ESCRITORIO II,49153,NOMBRE_COMERCIAL_DEL_PROCESADOR,3399454,INTEL CORE I3-14100T,Intel® Core™ I3-14100T
12518,COMPUTADORA DE ESCRITORIO II,49164,GEOLOCALIZACIÓN,3399631,CAPACIDAD HABILITADA DE GEOLOCALIZACIÓN NO MODIFICABLE POR 3 AÑOS: SI,Capacidad habilitada de Geolocalización no Modificable por 3 años: Si
12518,COMPUTADORA DE ESCRITORIO II,49164,GEOLOCALIZACIÓN,3399632,CAPACIDAD HABILITADA DE GEOLOCALIZACIÓN NO MODIFICABLE POR 3 AÑOS: NO,Capacidad habilitada de Geolocalización no Modificable por 3 años: No
12518,COMPUTADORA DE ESCRITORIO II,49165,FORMATO_MEMORIA_RAM,3399633,DIMM,DIMM
12518,COMPUTADORA DE ESCRITORIO II,49165,FORMATO_MEMORIA_RAM,3399634,SODIMM,SODIMM
12518,COMPUTADORA DE ESCRITORIO II,49165,FORMATO_MEMORIA_RAM,3399635,UDIMM,UDIMM
12518,COMPUTADORA DE ESCRITORIO II,49165,FORMATO_MEMORIA_RAM,3399636,SDRAM,SDRAM
12518,COMPUTADORA DE ESCRITORIO II,49166,TIPO_DE_MEMORIA_RAM,3399637,DDR4,DDR4
12518,COMPUTADORA DE ESCRITORIO II,49166,TIPO_DE_MEMORIA_RAM,3399638,DDR5,DDR5
12518,COMPUTADORA DE ESCRITORIO II,49166,TIPO_DE_MEMORIA_RAM,3399639,DRAM,DRAM
12518,COMPUTADORA DE ESCRITORIO II,49166,TIPO_DE_MEMORIA_RAM,3399640,SDRAM,SDRAM
12518,COMPUTADORA DE ESCRITORIO II,49167,VELOCIDAD_MEMORIA_RAM,3399641,3200 MHz,3200 MHz
12518,COMPUTADORA DE ESCRITORIO II,49167,VELOCIDAD_MEMORIA_RAM,3399642,4800 MT/S,4800 MT/s
12518,COMPUTADORA DE ESCRITORIO II,49167,VELOCIDAD_MEMORIA_RAM,3399643,5600 MT/S,5600 MT/s
12518,COMPUTADORA DE ESCRITORIO II,49167,VELOCIDAD_MEMORIA_RAM,3399644,5200 MT/S,5200 MT/s
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399645,16 GB,16 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399646,32 GB,32 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399647,48 GB,48 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399648,64 GB,64 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399649,96 GB,96 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399650,128 GB,128 GB
12518,COMPUTADORA DE ESCRITORIO II,49168,CAPACIDAD_MEMORIA_RAM,3399651,192 GB,192 GB
12518,COMPUTADORA DE ESCRITORIO II,49181,TARJETA_DE_VIDEO_INDEPENDIENTES,3399707,SI,Si
12518,COMPUTADORA DE ESCRITORIO II,49181,TARJETA_DE_VIDEO_INDEPENDIENTES,3399708,NO,No
12518,COMPUTADORA DE ESCRITORIO II,49202,TECNOLOGÍA_DISCO_1,3399827,NO APLICA,No aplica
12518,COMPUTADORA DE ESCRITORIO II,49202,TECNOLOGÍA_DISCO_1,3399828,XXX,XXX
12518,COMPUTADORA DE ESCRITORIO II,49202,TECNOLOGÍA_DISCO_1,3399829,ESTADO SOLIDO (SSD),Unidad de Estado Sólido (SSD)
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399830,NO APLICA,No aplica
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399831,XXX,XXX
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399832,500 GB,500 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399833,512 GB,512 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399834,128 GB,128 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399835,256 GB,256 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399836,1 TB,1 TB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399837,2 TB,2 TB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399838,4 TB,4 TB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399839,240 GB,240 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399840,250 GB,250 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399841,480 GB,480 GB
12518,COMPUTADORA DE ESCRITORIO II,49203,CAPACIDAD_NOMINAL_DISCO_1,3399842,960 GB,960 GB
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399843,NO APLICA,No aplica
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399844,XXX,XXX
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399845,NVME,NVMe
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399846,SATA,SATA
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399847,PCIE NVME,NVMe
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399848,PCIE OPAL2 NVME,PCIE OPAL2 NVME
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399849,PCIE-4X4,PCIE-4X4
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399850,TLC PCIE SED OPAL2,TLC PCIE SED OPAL2
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399851,AHCI (ADVANCED HOST CONTROLLER INTERFACE),AHCI (ADVANCED HOST CONTROLLER INTERFACE)
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399852,SATA II,SATA II
12518,COMPUTADORA DE ESCRITORIO II,49204,PROTOCOLO_DE_COMUNICACIÓN_DISCO_1,3399853,SATA III,SATA III
12518,COMPUTADORA DE ESCRITORIO II,49205,ESPECIFICACIÓN_O_FACTOR_FORMA_DISCO_1,3399854,NO APLICA,No aplica
12518,COMPUTADORA DE ESCRITORIO II,49205,ESPECIFICACIÓN_O_FACTOR_FORMA_DISCO_1,3399855,XXX,XXX
12518,COMPUTADORA DE ESCRITORIO II,49205,ESPECIFICACIÓN_O_FACTOR_FORMA_DISCO_1,3399856,M.2,M.2
12518,COMPUTADORA DE ESCRITORIO II,49208,TECNOLOGÍA_DISCO_2,3399927,NO APLICA,No aplica
12518,COMPUTADORA DE ESCRITORIO II,49208,TECNOLOGÍA_DISCO_2,3399928,XXX,XXX
12518,COMPUTADORA DE ESCRITORIO II,49208,TECNOLOGÍA_DISCO_2,3399929,ESTADO SOLIDO (SSD),Unidad de Estado Sólido (SSD)
