idProcc,ValProcc,ValPdf,launchDate
3708644,PROCESADOR: AMD RYZEN™ 7 6800U?,AMD Ryzen™ 7 6800U,2022
3708645,PROCESADOR: AMD RYZEN™ 7 7730U,AMD Ryzen™ 7 7730U,2023
3708646,PROCESADOR: AMD RYZEN™ 7 7735U,AMD Ryzen™ 7 7735U,2023
3708647,PROCESADOR: AMD RYZEN™ 7 7840U,AMD Ryzen™ 7 7840U,2023
3708648,PROCESADOR: AMD RYZEN™ 7 8840HS,AMD Ryzen™ 7 8840HS,2024
3708649,PROCESADOR: AMD RYZEN™ 7 8840U,AMD Ryzen™ 7 8840U,2024
3708650,PROCESADOR: AMD RYZEN™ 7 PRO 5850U,AMD Ryzen™ 7 PRO 5850U,2021
3708651,PROCESADOR: AMD RYZEN™ 7 PRO 5875U,AMD Ryzen™ 7 PRO 5875U,2022
3708652,PROCESADOR: AMD RYZEN™ 7 PRO 6850HS,AMD Ryzen™ 7 PRO 6850HS,2022
3708653,PROCESADOR: AMD RYZEN™ 7 PRO 6850U,AMD Ryzen™ 7 PRO 6850U,2022
3708654,PROCESADOR: AMD RYZEN™ 7 PRO 7730U,AMD Ryzen™ 7 PRO 7730U,2023
3708655,PROCESADOR: AMD RYZEN™ 7 PRO 7735U,AMD Ryzen™ 7 PRO 7735U,2023
3708656,PROCESADOR: AMD RYZEN™ 7 PRO 7840HS,AMD Ryzen™ 7 PRO 7840HS,2023
3708657,PROCESADOR: AMD RYZEN™ 7 PRO 7840U,AMD Ryzen™ 7 PRO 7840U,2023
3708658,PROCESADOR: AMD RYZEN™ 7 PRO 8840HS,AMD Ryzen™ 7 PRO 8840HS,2023
3708659,PROCESADOR: AMD RYZEN™ 9 PRO 6950HS,AMD Ryzen™ 9 PRO 6950HS,2022
3708660,PROCESADOR: AMD RYZEN™ 9 PRO 7940HS,AMD Ryzen™ 9 PRO 7940HS,2023
3708661,PROCESADOR: INTEL® CORE™ I3-1210U,Intel® Core™ I3-1210U,2022
3708662,PROCESADOR: INTEL® CORE™ I3-1215U,Intel® Core™ I3-1215U,2022
3708663,PROCESADOR: INTEL® CORE™ I3-1315U,Intel® Core™ I3-1315U,2023
3708664,PROCESADOR: INTEL® CORE™ I3-N305,Intel® Core™ I3-N305,2023
3708665,PROCESADOR: INTEL® CORE™ I5-1230U,Intel® Core™ I5-1230U,2022
3708666,PROCESADOR: INTEL® CORE™ I5-1235U,Intel® Core™ I5-1235U,2022
3708667,PROCESADOR: INTEL® CORE™ I5-1240P,Intel® Core™ I5-1240P,2022
3708668,PROCESADOR: INTEL® CORE™ I5-1240U,Intel® Core™ I5-1240U,2022
3708669,PROCESADOR: INTEL® CORE™ I5-1245U,Intel® Core™ I5-1245U,2022
3708670,PROCESADOR: INTEL® CORE™ I5-1250P,Intel® Core™ I5-1250P,2022
3708671,PROCESADOR: INTEL® CORE™ I5-1334U,Intel® Core™ I5-1334U,2023
3708672,PROCESADOR: INTEL® CORE™ I5-1335U,Intel® Core™ I5-1335U,2023
3708673,PROCESADOR: INTEL® CORE™ I5-1340P,Intel® Core™ I5-1340P,2023
3708674,PROCESADOR: INTEL® CORE™ I5-1345U,Intel® Core™ I5-1345U,2023
3708675,PROCESADOR: INTEL® CORE™ I5-1350P,Intel® Core™ I5-1350P,2023
3708676,PROCESADOR: INTEL® CORE™ I7-1255U,Intel® Core™ I7-1255U,2022
3708677,PROCESADOR: INTEL® CORE™ I7-1260P,Intel® Core™ I7-1260P,2022
3708678,PROCESADOR: INTEL® CORE™ I7-1265U,Intel® Core™ I7-1265U,2022
3708679,PROCESADOR: INTEL® CORE™ I7-1270P,Intel® Core™ I7-1270P,2022
3708680,PROCESADOR: INTEL® CORE™ I7-1280P,Intel® Core™ I7-1280P,2022
3708681,PROCESADOR: INTEL® CORE™ I7-1355U,Intel® Core™ I7-1355U,2023
3708682,PROCESADOR: INTEL® CORE™ I7-1360P,Intel® Core™ I7-1360P,2023
3708683,PROCESADOR: INTEL® CORE™ I7-1365U,Intel® Core™ I7-1365U,2023
3708684,PROCESADOR: INTEL® CORE™ I7-1370P,Intel® Core™ I7-1370P,2023
3708685,PROCESADOR: INTEL® CORE™ ULTRA 5-125H,Intel® Core™ Ultra 5-125H,2024
3708686,PROCESADOR: INTEL® CORE™ ULTRA 5-125U,Intel® Core™ Ultra 5-125U,2024
3708687,PROCESADOR: INTEL® CORE™ ULTRA 5-135H,Intel® Core™ Ultra 5-135H,2024
3708688,PROCESADOR: INTEL® CORE™ ULTRA 5-135U,Intel® Core™ Ultra 5-135U,2024
3708689,PROCESADOR: INTEL® CORE™ ULTRA 7-155H,Intel® Core™ Ultra 7-155H,2024
3708690,PROCESADOR: INTEL® CORE™ ULTRA 7-155,Intel® Core™ Ultra 7-155,2023
3708691,PROCESADOR: INTEL® CORE™ ULTRA 7-165H,Intel® Core™ Ultra 7-165H,2023
3708692,PROCESADOR: INTEL® CORE™ ULTRA 7-165U,Intel® Core™ Ultra 7-165U,2023
3708693,PROCESADOR: INTEL® N100,Intel® N100,2023
3708694,PROCESADOR: INTEL® N200,Intel® N200,2023
3708695,PROCESADOR: INTEL® U300,Intel® U300,2023
3708696,PROCESADOR: INTEL CORE I7-12700H,Intel® Core™ I7-12700H,2022
3708697,PROCESADOR: INTEL CORE I5-11300H,Intel® Core™ I5-11300H,2021
3708564,PROCESADOR: AMD RYZEN 3 5425U,AMD Ryzen™ 3 5425U,2022
3708565,PROCESADOR: AMD RYZEN 3 7335U,AMD Ryzen™ 3 7335U,2023
3708566,PROCESADOR: AMD RYZEN 5 5625U,AMD Ryzen™ 5 5625U,2022
3708567,PROCESADOR: AMD RYZEN 5 7535U,AMD Ryzen™ 5 7535U,2023
3708568,PROCESADOR: AMD RYZEN 7 5825U,AMD Ryzen™ 7 5825U,2022
3708569,PROCESADOR: AMD RYZEN 7 7735U,AMD Ryzen™ 7 7735U,2023
3708570,PROCESADOR: AMD ATHLON SILVER 7120U,AMD ATHLON Silver 7120U,2023
3708571,PROCESADOR: AMD RYZEN 3 5400U,AMD Ryzen™ 3 5400U,2021
3708572,PROCESADOR: AMD RYZEN 3 7320U,AMD Ryzen™ 3 7320U,2023
3708573,PROCESADOR: AMD RYZEN 3 7330U,AMD Ryzen™ 3 7330U,2023
3708574,PROCESADOR: AMD RYZEN 5 5600U,AMD Ryzen™ 5 5600U,2021
3708575,PROCESADOR:,null,#N/D
3708576,PROCESADOR: AMD RYZEN 5 7520U,AMD Ryzen™ 5 7520U,2022
3708577,PROCESADOR: AMD RYZEN 5 7530U,AMD Ryzen™ 5 7530U,2023
3708578,PROCESADOR: INTEL CORE I3-1215U,Intel® Core™ I3-1215U,2022
3708579,PROCESADOR: INTEL CORE I3-1315U,Intel® Core™ I3-1315U,2023
3708580,PROCESADOR: NTEL CORE I5-11300H,Intel® Core™ I5-11300H,2021
3708581,PROCESADOR: NTEL CORE I5-1135G7,Intel® Core™ I5-1135G7,2020
3708582,PROCESADOR: INTEL CORE I5-1235U,Intel® Core™ I5-1235U,2022
3708583,PROCESADOR: INTEL CORE I5-1240P,Intel® Core™ I5-1240P,2022
3708584,PROCESADOR: INTEL CORE I5-1245U,Intel® Core™ I5-1245U,2022
3708585,PROCESADOR: NTEL CORE I5-12500H,Intel® Core™ I5-12500H,2022
3708586,PROCESADOR: INTEL CORE I5-1334U,Intel® Core™ I5-1334U,2023
3708587,PROCESADOR: INTEL CORE I5-1335U,Intel® Core™ I5-1335U,2023
3708588,PROCESADOR: INTEL CORE I5-1345U,Intel® Core™ I5-1345U,2023
3708589,PROCESADOR: INTEL CORE I5-1350P,Intel® Core™ I5-1350P,2023
3708590,PROCESADOR: NTEL CORE I7-1165G7,Intel® Core™ I7-1165G7,2020
3708591,PROCESADOR: INTEL CORE I7-1255U,Intel® Core™ I7-1255U,2022
3708592,PROCESADOR: INTEL CORE I7-1260P,Intel® Core™ I7-1260P,2022
3708593,PROCESADOR: INTEL CORE I7-1265U,Intel® Core™ I7-1265U,2022
3708594,PROCESADOR: INTEL CORE I7-1270P,Intel® Core™ I7-1270P,2022
3708595,PROCESADOR: INTEL CORE I7-1355U,Intel® Core™ I7-1355U,2023
3708596,PROCESADOR: INTEL CORE I7-1365U,Intel® Core™ I7-1365U,2023
3708597,PROCESADOR: NTEL CORE I7-13700H,Intel® Core™ I7-13700H,2023
3708598,PROCESADOR: INTEL CORE I7-1370P,Intel® Core™ I7-1370P,2023
3708599,PROCESADOR: INTEL CORE I7-14700HX,Intel® Core™ I7-14700HX,2024
3708600,PROCESADOR: INTEL CORE I9-14900HX,Intel® Core™ I9-14900HX,2024
3708601,PROCESADOR: INTEL CORE N100,Intel® Core™ N100,2023
3708602,PROCESADOR: INTEL CORE ULTRA 5 125H,Intel® Core™ Ultra 5 125H,2023
3708603,PROCESADOR: INTEL CORE ULTRA 5 125U,Intel® Core™ Ultra 5 125U,2023
3708604,PROCESADOR: INTEL CORE ULTRA 7 155H,Intel® Core™ Ultra 7 155H,2023
3708605,PROCESADOR: INTEL CORE ULTRA 7 155U,Intel® Core™ Ultra 7 155U,2023
3708606,PROCESADOR: INTEL CORE ULTRA 7 165U,Intel® Core™ Ultra 7 165U,2023
3708607,PROCESADOR: INTEL CORE ULTRA 9 185H,Intel® Core™ Ultra 9 185H,2023
3708608,PROCESADOR: AMD RYZEN™ 3 5300U,AMD Ryzen™ 3 5300U,2021
3708609,PROCESADOR: AMD RYZEN™ 3 5400U,AMD Ryzen™ 3 5400U,2021
3708610,PROCESADOR: AMD RYZEN™ 3 5425C,AMD Ryzen™ 3 5425C,2022
3708611,PROCESADOR: AMD RYZEN™ 3 5425U,AMD Ryzen™ 3 5425U,2022
3708612,PROCESADOR: AMD RYZEN™ 3 7320U,AMD Ryzen™ 3 7320U,2022
3708613,PROCESADOR: AMD RYZEN™ 3 7330U,AMD Ryzen™ 3 7330U,2023
3708614,PROCESADOR: AMD RYZEN™ 3 7335U,AMD Ryzen™ 3 7335U,2023
3708615,PROCESADOR: AMD RYZEN™ 3 7440U,AMD Ryzen™ 3 7440U,2024
3708616,PROCESADOR: AMD RYZEN™ 3 8440U,AMD Ryzen™ 3 8440U,2024
3708617,PROCESADOR: AMD RYZEN™ 3 PRO 5450U,AMD Ryzen™ 3 PRO 5450U,2021
3708618,PROCESADOR: AMD RYZEN™ 3 PRO 7335U,AMD Ryzen™ 3 PRO 7335U,2023
3708619,PROCESADOR: AMD RYZEN™ 5 5500U,AMD Ryzen™ 5 5500U,2021
3708620,PROCESADOR: AMD RYZEN™ 5 5600U,AMD Ryzen™ 5 5600U,2021
3708621,PROCESADOR: AMD RYZEN™ 5 5625C,AMD Ryzen™ 5 5625C,2022
3708622,PROCESADOR: AMD RYZEN™ 5 5625U,AMD Ryzen™ 5 5625U,2022
3708623,PROCESADOR: AMD RYZEN™ 5 6600U,AMD Ryzen™ 5 6600U,2022
3708624,PROCESADOR: AMD RYZEN™ 5 7430U,AMD Ryzen™ 5 7430U,2023
3708625,PROCESADOR: AMD RYZEN™ 5 7520U,AMD Ryzen™ 5 7520U,2022
3709256,PROCESADOR: AMD RYZEN 7 7840HS,AMD Ryzen™ 7 7840HS,2023
3709257,PROCESADOR: AMD RYZEN 7 PRO 7840HS,AMD Ryzen™ 7 PRO 7840HS,2023
3709258,PROCESADOR: AMD RYZEN 7 PRO 8840HS,AMD Ryzen™ 7 PRO 8840HS,2023
3709259,PROCESADOR: AMD RYZEN 9 PRO 8945HS,AMD Ryzen™ 9 PRO 8945HS,2023
3709260,PROCESADOR: INTEL CORE I5-13500H,Intel® Core™ I5-13500H,2023
3709261,PROCESADOR: INTEL CORE I7-12700H,Intel® Core™ I7-12700H,2022
3709262,PROCESADOR: INTEL CORE I7-1355U,Intel® Core™ I7-1355U,2023
3709263,PROCESADOR: INTEL CORE I7-1360P,Intel® Core™ I7-1360P,2023
3709264,PROCESADOR: INTEL CORE I7-13700H,Intel® Core™ I7-13700H,2023
3709265,PROCESADOR: INTEL CORE I7-13700HX,Intel® Core™ I7-13700HX,2023
3709266,PROCESADOR: INTEL CORE I7-13800H,Intel® Core™ I7-13800H,2023
3709267,PROCESADOR: INTEL CORE I7-13850HX,Intel® Core™ I7-13850HX,2023
3709268,PROCESADOR: INTEL CORE I9-13900H,Intel® Core™ I9-13900H,2023
3709269,PROCESADOR: INTEL CORE I9-13980HX,Intel® Core™ I9-13980HX,2023
3709270,PROCESADOR: INTEL CORE I9-14900HX,Intel® Core™ I9-14900HX,2024
3709271,PROCESADOR: INTEL CORE ULTRA 7 155H,Intel® Core™ Ultra 7 155H,2024
3709272,PROCESADOR: INTEL CORE ULTRA 7 155U,Intel® Core™ Ultra 7 155U,2024
3709273,PROCESADOR: INTEL CORE ULTRA 7 165H,Intel® Core™ Ultra 7 165H,2024
3709274,PROCESADOR: INTEL CORE ULTRA 9 185H,Intel® Core™ Ultra 9 185H,2024
3709275,PROCESADOR: AMD RYZEN 7 PRO 8845HS,AMD Ryzen™ 7 PRO 8845HS,2023
3709276,PROCESADOR: AMD RYZEN™ 5 7640HS,AMD Ryzen™ 5 7640HS,2023
3709277,PROCESADOR: AMD RYZEN™ 5 8645H,AMD Ryzen™ 5 8645H,2024
3709278,PROCESADOR: AMD RYZEN™ 5 8645HS,AMD Ryzen™ 5 8645HS,2024
3709279,PROCESADOR: AMD RYZEN™ 5 PRO 7640HS,AMD Ryzen™ 5 PRO 7640HS,2023
3709280,PROCESADOR: AMD RYZEN™ 5 PRO 8640HS,AMD Ryzen™ 5 PRO 8640HS,2023
3709281,PROCESADOR: AMD RYZEN™ 5 PRO 8645HS,AMD Ryzen™ 5 PRO 8645HS,2023
3709282,PROCESADOR: AMD RYZEN™ 7 7840HS,AMD Ryzen™ 7 7840HS,2023
3709283,PROCESADOR: AMD RYZEN™ 7 8845HS,AMD Ryzen™ 7 8845HS,2024
3709284,PROCESADOR: AMD RYZEN™ 7 PRO 7840HS,AMD Ryzen™ 7 PRO 7840HS,2023
3709285,PROCESADOR: AMD RYZEN™ 7 PRO 8840HS,AMD Ryzen™ 7 PRO 8840HS,2023
3709286,PROCESADOR: AMD RYZEN™ 7 PRO 8845HS,AMD Ryzen™ 7 PRO 8845HS,2023
3709287,PROCESADOR: AMD RYZEN™ 9 7940HS,AMD Ryzen™ 9 7940HS,2023
3709288,PROCESADOR: AMD RYZEN™ 9 8945HS,AMD Ryzen™ 9 8945HS,2024
3709289,PROCESADOR: AMD RYZEN™ 9 PRO 7940HS,AMD Ryzen™ 9 PRO 7940HS,2023
3709290,PROCESADOR: AMD RYZEN™ 9 PRO 8945HS,AMD Ryzen™ 9 PRO 8945HS,2024
3709291,PROCESADOR: INTEL® CORE™ I7-13700HX,Intel® Core™ I7-13700HX,2023
3709292,PROCESADOR: INTEL® CORE™ I7-13850HX,Intel® Core™ I7-13850HX,2023
3709293,PROCESADOR: INTEL® CORE™ I9-13950HX,Intel® Core™ I9-13950HX,2023
3709294,PROCESADOR: INTEL® CORE™ I9-14900HX,Intel® Core™ I9-14900HX,2024
3709295,PROCESADOR: INTEL® CORE™ I3-1315U,Intel® Core™ I3-1315U,2023
3709296,PROCESADOR: INTEL® CORE™ I5-1335,null,#N/D
3709297,PROCESADOR: INTEL® CORE™ I5-1340P,Intel® Core™ I5-1340P,2023
3709298,PROCESADOR: INTEL® CORE™ I5-1345U,Intel® Core™ I5-1345U,2023
3709299,PROCESADOR: INTEL® CORE™ I5-13500H,Intel® Core™ I5-13500H,2023
3709300,PROCESADOR: INTEL® CORE™ I5-13600H,Intel® Core™ I5-13600H,2023
3709301,PROCESADOR: INTEL® CORE™ I5-13600HX,Intel® Core™ I5-13600HX,2023
3709302,PROCESADOR: INTEL® CORE™ I7-1355U,Intel® Core™ I7-1355U,2023
3709303,PROCESADOR: INTEL® CORE™ I7-1360P,Intel® Core™ I7-1360P,2023
3709304,PROCESADOR: INTEL® CORE™ I7-1365U,Intel® Core™ I7-1365U,2023
3709305,PROCESADOR: INTEL® CORE™ I7-13700H,Intel® Core™ I7-13700H,2023
3709306,PROCESADOR: INTEL® CORE™ I7-1370P,Intel® Core™ I7-1370P,2023
3709307,PROCESADOR: INTEL® CORE™ I7-13800H,Intel® Core™ I7-13800H,2023
3709308,PROCESADOR: INTEL® CORE™ I7-14700HX,Intel® Core™ I7-14700HX,2024
3709309,PROCESADOR: INTEL® CORE™ I9-13900H,Intel® Core™ I9-13900H,2023
3709310,PROCESADOR: INTEL® CORE™ I9-13900HK,Intel® Core™ I9-13900HK,2023
3709311,PROCESADOR: INTEL® CORE™ I9-13900HX,Intel® Core™ I9-13900HX,2023
3709312,PROCESADOR: INTEL® CORE™ ULTRA 5-125H,Intel® Core™ Ultra 5-125H,2023
3709313,PROCESADOR: INTEL® CORE™ ULTRA 5-125U,Intel® Core™ Ultra 5-125U,2023
3709314,PROCESADOR: INTEL® CORE™ ULTRA 5-135H,Intel® Core™ Ultra 5-135H,2023
3709315,PROCESADOR: INTEL® CORE™ ULTRA 5-135U,Intel® Core™ Ultra 5-135U,2023
3709316,PROCESADOR: INTEL® CORE™ ULTRA 7-155H,Intel® Core™ Ultra 7-155H,2023
3709317,PROCESADOR: INTEL® CORE™ ULTRA 7-155U,Intel® Core™ Ultra 7-155U,2023
3709318,PROCESADOR: INTEL® CORE™ ULTRA 7-165H,Intel® Core™ Ultra 7-165H,2023
3709319,PROCESADOR: INTEL® CORE™ ULTRA 7-165U,Intel® Core™ Ultra 7-165U,2023
3709320,PROCESADOR: INTEL® CORE™ ULTRA 9-185H,Intel® Core™ Ultra 9-185H,2023
