idProcc,ValProcc,ValPdf,launchDate
3707555,PROCESADOR: 2 X INTEL XEON GOLD 5415+,2x Intel® Xeon® Gold 5415+,2023
3707556,PROCESADOR: 2 X INTEL XEON GOLD 5416S,2x Intel® Xeon® Gold 5416S,2023
3707557,PROCESADOR: 2 X INTEL XEON GOLD 5418Y,2x Intel® Xeon® Gold 5418Y,2023
3707558,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7955WX,AMD Ryzen™ Threadripper™ PRO 7955WX,2023
3707559,PROCESADOR: INTEL CORE I3-12100,Intel® Core™ I3-12100,2023
3707560,PROCESADOR: INTEL CORE I5-12400,Intel® Core™ I5-12400,2023
3707561,PROCESADOR: NTEL CORE I5-14600K,Intel® Core™ I5-14600K,2023
3707562,PROCESADOR: INTEL CORE i7-11700,Intel® Core™ i7-11700,2023
3707563,PROCESADOR: INTEL CORE I7-12700,Intel® Core™ I7-12700,2023
3707564,PROCESADOR: INTEL CORE I7-12700F,Intel® Core™ I7-12700F,2021
3707565,PROCESADOR: INTEL CORE I7-12700K,Intel® Core™ I7-12700K,2021
3707566,PROCESADOR: INTEL CORE I7-12700KF,Intel® Core™ I7-12700KF,2021
3707567,PROCESADOR: INTEL CORE I7-13700,Intel® Core™ I7-13700,2023
3707568,PROCESADOR: INTEL CORE I7-13700F,Intel® Core™ I7-13700F,2023
3707569,PROCESADOR: INTEL CORE I7-13700K,Intel® Core™ I7-13700K,2023
3707570,PROCESADOR: INTEL CORE I7-14700,Intel® Core™ I7-14700,2024
3707571,PROCESADOR: INTEL CORE I7-14700K,Intel® Core™ I7-14700K,2024
3707572,PROCESADOR: INTEL CORE I7-14700KF,Intel® Core™ I7-14700KF,2024
3707573,PROCESADOR: INTEL CORE I9-12900,Intel® Core™ I9-12900,2021
3707574,PROCESADOR: INTEL CORE I9-12900F,Intel® Core™ I9-12900F,2022
3707575,PROCESADOR: INTEL CORE I9-12900K,Intel® Core™ I9-12900K,2021
3707576,PROCESADOR: INTEL CORE I9-12900KF,Intel® Core™ I9-12900KF,2021
3707577,PROCESADOR: INTEL CORE I9-13900,Intel® Core™ I9-13900,2022
3707578,PROCESADOR: INTEL CORE I9-13900K,Intel® Core™ I9-13900K,2022
3707579,PROCESADOR: INTEL CORE I9-13900KF,Intel® Core™ I9-13900KF,2022
3707580,PROCESADOR: INTEL CORE I9-14900K,Intel® Core™ I9-14900K,2024
3707581,PROCESADOR: INTEL CORE I9-14900KF,Intel® Core™ I9-14900KF,2024
3707582,PROCESADOR: INTEL XEON SILVER 4314,Intel® Xeon® Silver 4314,2021
3707583,PROCESADOR: INTEL XEON W5-2445 3.10 GHz,Intel® Xeon® W5-2445 3.10 GHz,2022
3707584,PROCESADOR: INTEL XEON W5-3423,Intel® Xeon® W5-3423,2022
3707585,PROCESADOR: INTEL XEON W5-3433,Intel® Xeon® W5-3433,2022
3707586,PROCESADOR: INTEL XEON W5-3435X,Intel® Xeon® W5-3435X,2022
3707587,PROCESADOR: INTEL CORE I3-12300,Intel® Core™ I3-12300,2022
3707588,PROCESADOR: INTEL CORE I3-13100,Intel® Core™ I3-13100,2023
3707589,PROCESADOR: INTEL CORE I3-13300,Intel® Core™ I3-13300,2023
3707590,PROCESADOR: INTEL CORE I3-14100,Intel® Core™ I3-14100,2024
3707591,PROCESADOR: INTEL CORE I5-12500,Intel® Core™ I5-12500,2022
3707592,PROCESADOR: INTEL CORE I5-12600,Intel® Core™ I5-12600,2021
3707593,PROCESADOR: INTEL CORE I5-12600K,Intel® Core™ I5-12600K,2021
3707594,PROCESADOR: INTEL CORE I5-13400,Intel® Core™ I5-13400,2023
3707595,PROCESADOR: INTEL CORE I5-13500,Intel® Core™ I5-13500,2023
3707596,PROCESADOR: INTEL CORE I5-13600,Intel® Core™ I5-13600,2023
3707597,PROCESADOR: INTEL CORE I5-13600K,Intel® Core™ I5-13600K,2022
3707598,PROCESADOR: INTEL CORE I5-14400,Intel® Core™ I5-14400,2022
3707599,PROCESADOR: INTEL CORE I5-14500,Intel® Core™ I5-14500,2024
3707600,PROCESADOR: INTEL CORE I5-14600,Intel® Core™ I5-14600,2024
3707601,PROCESADOR: INTEL CORE I5-14600K,Intel® Core™ I5-14600K,2024
3707602,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7945WX,AMD Ryzen™ Threadripper™ PRO 7945WX,2023
3707603,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7965WX,AMD Ryzen™ Threadripper™ PRO 7965WX,2023
3707604,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7975WX,AMD Ryzen™ Threadripper™ PRO 7975WX,2023
3707605,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7985WX,AMD Ryzen™ Threadripper™ PRO 7985WX,2023
3707606,PROCESADOR: AMD RYZEN THREADRIPPER PRO 7995WX,AMD Ryzen™ Threadripper™ PRO 7995WX,2023
3707607,PROCESADOR: INTEL XEON W-1250,Intel® Xeon® W-1250,2020
3707608,PROCESADOR: INTEL XEON W-1250P,Intel® Xeon® W-1250P,2020
3707609,PROCESADOR: INTEL XEON W-1270,Intel® Xeon® W-1270,2020
3707610,PROCESADOR: INTEL XEON W-1270P,Intel® Xeon® W-1270P,2020
3707611,PROCESADOR: INTEL XEON W-1290,Intel® Xeon® W-1290,2020
3707612,PROCESADOR: INTEL XEON W-1290P,Intel® Xeon® W-1290P,2020
3707613,PROCESADOR: INTEL XEON W2133,Intel® Xeon® W2133,2017
3707614,PROCESADOR: INTEL XEON 3204,Intel® Xeon® 3204,2019
3707615,PROCESADOR: INTEL XEON 3206R,Intel® Xeon® 3206R,2020
3707616,PROCESADOR: INTEL XEON 4108,Intel® Xeon® 4108,2017
3707617,PROCESADOR: INTEL XEON 4114,Intel® Xeon® 4114,2017
3707618,PROCESADOR: INTEL XEON 4208,Intel® Xeon® 4208,2019
3707619,PROCESADOR: INTEL XEON 4210,Intel® Xeon® 4210,2019
3707620,PROCESADOR: INTEL XEON 4210R,Intel® Xeon® 4210R,2020
3707621,PROCESADOR: INTEL XEON 4214,Intel® Xeon® 4214,2019
3707622,PROCESADOR: INTEL XEON 4214R,Intel® Xeon® 4214R,2020
3707623,PROCESADOR: INTEL XEON 4215R,Intel® Xeon® 4215R,2020
3707624,PROCESADOR: INTEL XEON 4216,Intel® Xeon® 4216,2019
3707625,PROCESADOR: INTEL XEON 4410Y,Intel® Xeon® 4410Y,2023
3707626,PROCESADOR: INTEL XEON 4416+,Intel® Xeon® 4416+,2023
3707627,PROCESADOR: INTEL XEON 4509Y,Intel® Xeon® 4509Y,2023
3707628,PROCESADOR: INTEL XEON 4510,Intel® Xeon® 4510,2023
3707629,PROCESADOR: INTEL XEON 4514Y,Intel® Xeon® 4514Y,2023
3707630,PROCESADOR: INTEL XEON 4516Y+,Intel® Xeon® 4516Y+,2023
3707631,PROCESADOR: INTEL XEON 5118,Intel® Xeon® 5118,2017
3707632,PROCESADOR: INTEL XEON 5215,Intel® Xeon® 5215,2019
3707633,PROCESADOR: INTEL XEON 5218,Intel® Xeon® 5218,2019
3707634,PROCESADOR: INTEL XEON 5218R,Intel® Xeon® 5218R,2020
3707635,PROCESADOR: INTEL XEON 5220R,Intel® Xeon® 5220R,2020
3707636,PROCESADOR: INTEL XEON 5222,Intel® Xeon® 5222,2019
3707637,PROCESADOR: INTEL XEON 5415+,Intel® Xeon® 5415+,2023
3707638,PROCESADOR: INTEL XEON 5416S,Intel® Xeon® 5416S,2023
3707639,PROCESADOR: INTEL XEON 5418Y,Intel® Xeon® 5418Y,2023
3707640,PROCESADOR: INTEL XEON 5420+,Intel® Xeon® 5420+,2023
3707641,PROCESADOR: INTEL XEON 5520+,Intel® Xeon® 5520+,2023
3707642,PROCESADOR: INTEL XEON 6128,Intel® Xeon® 6128,2017
3707643,PROCESADOR: INTEL XEON 6136,Intel® Xeon® 6136,2017
3707644,PROCESADOR: INTEL XEON 6226,Intel® Xeon® 6226,2019
3707645,PROCESADOR: INTEL XEON 6226R,Intel® Xeon® 6226R,2020
3707646,PROCESADOR: INTEL XEON 6234,Intel® Xeon® 6234,2019
3707647,PROCESADOR: INTEL XEON 6238R,Intel® Xeon® 6238R,2020
3707648,PROCESADOR: INTEL XEON 6240,Intel® Xeon® 6240,2019
3707649,PROCESADOR: INTEL XEON 6240R,Intel® Xeon® 6240R,2020
3707650,PROCESADOR: INTEL XEON 6242,Intel® Xeon® 6242,2019
3707651,PROCESADOR: INTEL XEON 6242R,Intel® Xeon® 6242R,2020
3707652,PROCESADOR: INTEL XEON 6244,Intel® Xeon® 6244,2019
3707653,PROCESADOR: INTEL XEON 6246R,Intel® Xeon® 6246R,2020
3707654,PROCESADOR: INTEL XEON 6248R,Intel® Xeon® 6248R,2020
